1001,p1001,35,M,F,30,40,3,5,1,1,5,5,5,4,1,1,1,1,5,5,1,1,5,1,1,1
1002,p1002,18,M,F,0,50,1,5,3,5,5,1,5,5,1,1,1,1,5,5,5,5,5,5,5,5
1003,p1003,17,M,F,17,18,2,1,1,3,4,1,1,1,1,1,1,4,4,4,1,5,1,3,3,3
1004,p1004,20,M,F,12,20,5,2,2,3,3,1,4,1,1,1,1,4,5,5,1,3,5,5,5,1
1005,p1005,19,M,F,18,24,5,3,4,5,3,3,2,5,1,1,3,1,1,3,1,1,3,1,2,2
1006,p1006,17,M,F,15,22,5,5,1,4,3,5,4,4,1,1,3,1,1,3,1,2,1,1,1,1
1007,p1007,18,F,M,17,20,5,4,2,3,5,1,1,1,1,1,3,1,4,4,1,1,1,1,1,1
1008,p1008,17,F,M,15,20,4,5,2,3,3,2,3,4,1,1,3,1,4,4,5,5,5,3,1,1
1009,p1009,17,M,F,0,160,1,3,1,3,1,4,5,2,1,1,3,1,5,5,1,1,1,5,5,5
1010,p1010,15,M,B,15,18,5,4,5,3,5,5,2,3,1,1,3,1,5,5,4,5,3,5,3,3
1011,p1011,19,M,B,0,20,5,3,3,3,3,1,4,3,1,1,3,5,5,5,5,1,3,3,5,1
1012,p1012,18,M,F,17,19,1,5,1,1,4,1,1,1,1,1,5,1,1,5,1,1,5,1,1,5
1013,p1013,18,M,F,16,20,5,3,3,1,5,5,3,3,1,1,5,1,5,5,5,1,5,3,1,5
1014,p1014,17,F,M,17,19,5,3,2,5,3,1,1,1,1,2,2,1,4,5,5,3,5,1,5,1
1015,p1015,18,M,F,0,24,5,3,2,4,4,1,2,4,1,2,3,1,2,2,2,1,5,3,3,1
1016,p1016,16,F,M,18,22,5,4,2,3,3,1,2,3,1,2,3,1,5,4,5,3,5,4,5,5
1017,p1017,17,M,F,15,19,5,3,2,3,5,4,3,1,1,2,3,3,4,4,1,1,5,2,1,1
1018,p1018,16,M,F,16,19,5,1,4,2,4,5,3,1,1,2,4,5,1,5,1,5,5,1,3,5
1019,p1019,16,B,F,5,12,3,3,2,2,4,1,3,2,1,3,1,3,5,3,3,3,4,5,3,3
1020,p1020,17,F,M,16,18,3,5,3,5,5,1,5,1,1,3,1,3,5,5,3,5,5,5,5,1
1021,p1021,18,M,F,0,100,5,5,3,3,4,4,4,5,1,3,2,1,3,3,1,1,1,1,1,1
1022,p1022,16,F,M,17,18,5,5,1,5,5,1,2,4,1,3,2,1,5,5,5,5,5,2,2,5
1023,p1023,15,M,F,15,17,1,1,2,2,3,3,2,2,1,3,2,2,1,4,3,2,3,3,5,4
1024,p1024,15,B,F,15,16,4,3,1,3,3,3,4,3,1,3,2,5,5,5,1,1,2,2,1,4
1025,p1025,19,F,M,17,26,5,4,4,4,3,3,3,3,1,3,3,1,1,1,3,1,4,2,1,2
1026,p1026,17,M,F,16,20,3,4,1,3,4,1,3,2,1,3,3,1,1,4,1,1,5,1,1,1
1027,p1027,17,M,F,2,6,4,4,3,4,3,2,1,2,1,3,3,1,5,5,4,1,6,3,2,1
1028,p1028,16,M,F,14,18,3,4,1,2,3,1,3,5,1,3,3,1,5,5,5,4,5,5,4,1
1029,p1029,16,M,F,14,17,5,1,3,3,5,5,4,3,1,3,3,3,3,3,3,3,3,3,3,5
1030,p1030,16,M,F,15,18,5,1,1,2,4,5,2,3,1,3,3,3,3,5,3,5,3,3,3,3
1031,p1031,18,M,F,15,25,4,3,2,4,2,3,1,5,1,3,3,5,2,4,1,5,3,4,1,2
1032,p1032,16,M,F,0,100,5,4,3,4,5,1,4,3,1,3,3,5,5,1,3,1,5,1,1,5
1033,p1033,18,M,F,15,18,1,5,1,5,3,4,1,5,1,3,4,1,5,5,3,1,5,5,5,1
1034,p1034,21,F,M,20,23,1,5,4,4,5,1,4,4,1,3,4,2,4,5,3,5,3,3,3,3
1035,p1035,22,F,M,20,23,1,3,3,3,5,5,1,4,1,3,4,3,1,3,3,5,1,3,3,3
1036,p1036,18,M,B,0,100,5,5,4,2,3,1,2,3,1,4,1,2,4,5,4,5,2,2,2,1
1037,p1037,15,B,F,15,18,1,4,1,3,1,3,4,1,1,4,2,5,5,5,1,1,2,1,5,3
1038,p1038,18,M,F,15,23,4,4,1,3,4,1,2,1,1,4,4,2,3,5,3,3,3,3,3,3
1039,p1039,27,M,F,18,27,5,1,5,1,3,5,4,4,1,4,4,5,5,5,4,5,2,5,4,5
1040,p1040,16,M,F,15,20,5,4,3,5,5,2,5,5,1,4,5,5,1,1,3,5,1,5,5,5
1041,p1041,16,M,B,0,100,1,1,1,1,5,1,5,1,1,5,1,5,1,5,1,1,5,1,5,1
1042,p1042,14,M,F,13,18,1,1,2,4,5,1,4,1,1,5,1,5,5,5,5,5,5,5,5,5
1043,p1043,19,B,F,0,100,5,1,1,4,2,2,5,1,1,5,3,1,1,1,1,1,5,1,5,1
1044,p1044,16,M,F,14,24,4,2,2,3,3,1,2,2,1,5,3,1,5,3,5,5,5,1,1,5
1045,p1045,16,F,M,14,18,4,5,3,4,4,3,4,1,1,5,3,2,5,5,1,4,4,5,1,1
1046,p1046,16,M,F,15,20,5,3,2,5,5,5,5,5,1,5,3,5,5,5,2,5,5,5,5,5
1047,p1047,16,M,F,15,100,5,4,1,3,5,5,4,5,1,5,4,5,4,5,1,1,5,5,1,1
1048,p1048,18,M,F,16,19,5,1,1,3,1,1,5,5,1,5,5,1,5,5,1,1,5,5,5,5
1049,p1049,19,M,F,17,23,5,2,3,3,3,5,1,1,1,5,5,1,5,5,5,3,3,3,5,5
1050,p1050,21,F,M,20,22,4,4,1,2,3,2,4,2,2,1,3,2,4,4,3,4,4,5,5,5
1051,p1051,19,F,M,19,25,5,4,2,5,1,1,5,3,2,1,4,3,4,5,2,3,5,5,5,5
1052,p1052,20,M,F,0,90,2,1,3,4,4,4,4,2,2,1,4,5,2,5,2,3,2,1,3,3
1053,p1053,17,B,F,16,24,1,1,3,3,5,5,3,5,2,3,2,5,5,5,5,5,5,5,5,5
1054,p1054,22,M,F,18,22,1,1,5,5,5,5,1,5,2,3,3,1,1,4,3,5,5,3,3,3
